# energy	target	ion     #Electronic stopping of D (ion) in W (target)
# eV	eV/Å	ev/Å
1.100000000e+00	2.374000000e-01	7.166000000e-02
1.200000000e+00	2.374000000e-01	7.166000000e-02
1.300000000e+00	2.471000000e-01	7.459000000e-02
1.400000000e+00	2.565000000e-01	7.740000000e-02
1.500000000e+00	2.655000000e-01	8.012000000e-02
1.600000000e+00	2.742000000e-01	8.275000000e-02
1.700000000e+00	2.826000000e-01	8.529000000e-02
1.800000000e+00	2.908000000e-01	8.777000000e-02
2.000000000e+00	3.065000000e-01	9.251000000e-02
2.250000000e+00	3.251000000e-01	9.813000000e-02
2.499990000e+00	3.427000000e-01	1.034000000e-01
2.749990000e+00	3.594000000e-01	1.085000000e-01
2.999990000e+00	3.754000000e-01	1.133000000e-01
3.249990000e+00	3.907000000e-01	1.179000000e-01
3.499990000e+00	4.055000000e-01	1.224000000e-01
3.749990000e+00	4.197000000e-01	1.267000000e-01
3.999990000e+00	4.335000000e-01	1.308000000e-01
4.499990000e+00	4.598000000e-01	1.388000000e-01
4.999990000e+00	4.847000000e-01	1.463000000e-01
5.499990000e+00	5.083000000e-01	1.534000000e-01
5.999990000e+00	5.309000000e-01	1.602000000e-01
6.499990000e+00	5.526000000e-01	1.668000000e-01
6.999990000e+00	5.734000000e-01	1.731000000e-01
7.999990000e+00	6.130000000e-01	1.850000000e-01
8.999990000e+00	6.502000000e-01	1.963000000e-01
9.999990000e+00	6.854000000e-01	2.069000000e-01
1.099990000e+01	7.189000000e-01	2.170000000e-01
1.199990000e+01	7.508000000e-01	2.266000000e-01
1.299990000e+01	7.815000000e-01	2.359000000e-01
1.399990000e+01	8.110000000e-01	2.448000000e-01
1.499990000e+01	8.394000000e-01	2.534000000e-01
1.599990000e+01	8.670000000e-01	2.617000000e-01
1.699990000e+01	8.937000000e-01	2.697000000e-01
1.799990000e+01	9.196000000e-01	2.775000000e-01
1.999990000e+01	9.693000000e-01	2.926000000e-01
2.249990000e+01	1.028000000e+00	3.103000000e-01
2.499990000e+01	1.084000000e+00	3.271000000e-01
2.749990000e+01	1.137000000e+00	3.430000000e-01
2.999990000e+01	1.187000000e+00	3.583000000e-01
3.249990000e+01	1.236000000e+00	3.729000000e-01
3.499990000e+01	1.282000000e+00	3.870000000e-01
3.749990000e+01	1.327000000e+00	4.006000000e-01
3.999990000e+01	1.371000000e+00	4.137000000e-01
4.499990000e+01	1.454000000e+00	4.388000000e-01
4.999990000e+01	1.533000000e+00	4.626000000e-01
5.499990000e+01	1.607000000e+00	4.851000000e-01
5.999990000e+01	1.679000000e+00	5.067000000e-01
6.499990000e+01	1.747000000e+00	5.274000000e-01
6.999990000e+01	1.813000000e+00	5.473000000e-01
7.999990000e+01	1.939000000e+00	5.851000000e-01
8.999990000e+01	2.056000000e+00	6.206000000e-01
9.999990000e+01	2.167000000e+00	6.542000000e-01
1.100000000e+02	2.273000000e+00	6.861000000e-01
1.200000000e+02	2.374000000e+00	7.166000000e-01
1.300000000e+02	2.471000000e+00	7.459000000e-01
1.399990000e+02	2.565000000e+00	7.740000000e-01
1.499990000e+02	2.655000000e+00	8.012000000e-01
1.599990000e+02	2.742000000e+00	8.275000000e-01
1.699990000e+02	2.826000000e+00	8.529000000e-01
1.799990000e+02	2.908000000e+00	8.777000000e-01
1.999990000e+02	3.065000000e+00	9.251000000e-01
2.249990000e+02	3.251000000e+00	9.813000000e-01
2.499990000e+02	3.427000000e+00	1.034000000e+00
2.749990000e+02	3.594000000e+00	1.085000000e+00
2.999990000e+02	3.754000000e+00	1.133000000e+00
3.249990000e+02	3.907000000e+00	1.179000000e+00
3.499990000e+02	4.055000000e+00	1.224000000e+00
3.749990000e+02	4.197000000e+00	1.267000000e+00
3.999990000e+02	4.335000000e+00	1.308000000e+00
4.499990000e+02	4.598000000e+00	1.388000000e+00
4.999990000e+02	4.847000000e+00	1.463000000e+00
5.499990000e+02	5.083000000e+00	1.534000000e+00
5.999990000e+02	5.309000000e+00	1.602000000e+00
6.499990000e+02	5.526000000e+00	1.668000000e+00
6.999990000e+02	5.734000000e+00	1.731000000e+00
7.999990000e+02	6.130000000e+00	1.850000000e+00
8.999990000e+02	6.502000000e+00	1.963000000e+00
9.999990000e+02	6.854000000e+00	2.069000000e+00
1.100000000e+03	7.189000000e+00	2.170000000e+00
1.200000000e+03	7.508000000e+00	2.266000000e+00
1.300000000e+03	7.815000000e+00	2.359000000e+00
1.400000000e+03	8.110000000e+00	2.448000000e+00
1.500000000e+03	8.394000000e+00	2.534000000e+00
1.600000000e+03	8.670000000e+00	2.617000000e+00
1.700000000e+03	8.937000000e+00	2.697000000e+00
1.800000000e+03	9.196000000e+00	2.775000000e+00
2.000000000e+03	9.693000000e+00	2.926000000e+00
2.250000000e+03	1.028000000e+01	3.103000000e+00
2.500000000e+03	1.084000000e+01	3.271000000e+00
2.750000000e+03	1.137000000e+01	3.430000000e+00
3.000000000e+03	1.187000000e+01	3.583000000e+00
3.250000000e+03	1.236000000e+01	3.729000000e+00
3.500000000e+03	1.282000000e+01	3.870000000e+00
3.750000000e+03	1.327000000e+01	4.006000000e+00
4.000000000e+03	1.371000000e+01	4.137000000e+00
4.500000000e+03	1.454000000e+01	4.339000000e+00
5.000000000e+03	1.533000000e+01	4.536000000e+00
5.500000000e+03	1.607000000e+01	4.729000000e+00
6.000000000e+03	1.679000000e+01	4.918000000e+00
6.500000000e+03	1.747000000e+01	5.104000000e+00
7.000000000e+03	1.813000000e+01	5.286000000e+00
8.000000000e+03	1.939000000e+01	5.641000000e+00
9.000000000e+03	2.056000000e+01	5.986000000e+00
1.000000000e+04	2.167000000e+01	6.321000000e+00
1.100000000e+04	2.273000000e+01	6.647000000e+00
1.200000000e+04	2.374000000e+01	6.965000000e+00
1.300000000e+04	2.471000000e+01	7.274000000e+00
1.400000000e+04	2.565000000e+01	7.577000000e+00
1.500000000e+04	2.655000000e+01	7.872000000e+00
1.600000000e+04	2.742000000e+01	8.160000000e+00
1.700000000e+04	2.826000000e+01	8.441000000e+00
1.800000000e+04	2.908000000e+01	8.717000000e+00
